Date,1st,2nd,J&J
3-Feb,531393,150079,0
4-Feb,553584,159827,0
5-Feb,584934,169940,0
6-Feb,621225,186320,0
7-Feb,641611,191896,0
8-Feb,659905,199213,0
9-Feb,696051,214361,0
10-Feb,723327,227188,0
11-Feb,748544,239230,0
12-Feb,776843,257175,0
13-Feb,807998,274787,0
14-Feb,829419,288955,0
15-Feb,846886,296544,0
16-Feb,861859,304657,0
17-Feb,893312,316302,0
18-Feb,937273,329989,0
19-Feb,976033,347623,0
20-Feb,1000734,372172,0
21-Feb,1024802,389087,0
22-Feb,1044210,399638,0
23-Feb,1061335,414941,0
24-Feb,1084888,433593,0
25-Feb,1111829,454472,0
26-Feb,1142357,480196,0
27-Feb,1166889,504304,0
28-Feb,1205219,531258,0
1-Mar,1222591,547061,0
2-Mar,1248571,565421,0
3-Mar,1281680,587167,0
4-Mar,1316691,614589,0
5-Mar,1355389,646005,4406
6-Mar,1390259,672014,7355
7-Mar,1414186,691535,12141
8-Mar,1428657,700741,14395
9-Mar,1471233,731697,26533
10-Mar,1504144,752083,32706
11-Mar,1533849,776524,43025
12-Mar,1563347,803231,50202
13-Mar,1587325,825157,53910
14-Mar,1614294,848237,60316
15-Mar,1620368,853934,60993
16-Mar,1664173,883407,62899
17-Mar,1699825,906783,65320
18-Mar,1737411,929577,67472
19-Mar,1780967,955134,68834
20-Mar,1818293,974951,70216
21-Mar,1849997,997220,72548
22-Mar,1866948,1012342,73057
23-Mar,1905957,1035741,74888
24-Mar,1942416,1060252,76481
25-Mar,1985856,1087118,78263
26-Mar,2028944,1115188,79717
27-Mar,2075557,1143630,81677
28-Mar,2116388,1169856,83277
29-Mar,2137827,1187938,83870
30-Mar,2180672,1217085,85520
31-Mar,2219002,1247666,88043
1-Apr,2268511,1279486,90593
2-Apr,2325040,1315619,93783
3-Apr,2382102,1353319,96711
4-Apr,2425659,1378780,99740
5-Apr,2449751,1391254,100550
6-Apr,2492756,1427168,102912
7-Apr,2540254,1457743,113330
8-Apr,2586903,1488224,129025
9-Apr,2640124,1535806,141155
10-Apr,2695542,1570771,156230
11-Apr,2735963,1594878,170788
12-Apr,2767991,1607970,181034
13-Apr,2814054,1640165,192920
14-Apr,2864282,1675599,199717
15-Apr,2917816,1716407,200423
16-Apr,2963999,1756466,201115
17-Apr,3007861,1800094,201657
18-Apr,3041808,1835912,201882
19-Apr,3070971,1857543,201944
20-Apr,3113812,1892492,203316
21-Apr,3166870,1932608,203527
22-Apr,3216855,1976054,204143
23-Apr,3271029,2027572,204489
24-Apr,3323355,2077812,204580
